,2005-12-01 20:00:00+00:00
agency_cd,USGS
site_no,390243104481401
sample_dt,2005-12-01
sample_tm,13:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,12.5
p00028,80020
p00090,106
p00095,379
p00191,2e-05
p00300,0.6
p00400,7.8
p00403,7.5
p00405,4.2
p00453,146
p00607,< 0.01 
p00608,0.06
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,E 0.015 
p00671,E 0.005 n
p00681,0.77
p00900,132
p00904,12
p00915,43.9
p00925,5.33
p00930,24.1
p00931,0.91
p00932,28
p00935,3.93
p00940,2.47
p00945,62.4
p00950,1.15
p00955,10.3
p01000,< 0.12 
p01005,36.0
p01010,< 0.060 
p01020,44
p01025,< 0.040 
p01030,0.06
p01035, 0.066 oc
p01040, 7.4 oc
p01046,175
p01049,0.164
p01056,63.9
p01057,< 0.040 
p01060,1.29
p01065, 0.99 oc
p01075,< 0.200 
p01080,446
p01085,< 0.10 
p01090,E 0.4 noc
p01095,< 0.200 
p01106,< 1.6 
p01130,9.55
p01145,< 0.08 
p07000,0.0
p22703,< 0.040 
p30210,97.6
p39086,121
p49933,11.17
p49934,0.09
p50280,2001
p62854,0.07
p63676,0.3
p70300,225
p70301,E 226 
p70303,0.31
p71846,0.075
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.060 @
p71999,15.0
p72019,320.17
p75985,0.6
p82081,-11.15
p82082,-92.6
p82085,-12.47
p90095,376
p99111,1
p99114,0.19
p99115,0.2
p99119,M  
