,2004-12-10 17:15:00+00:00,2004-12-15 17:00:00+00:00
agency_cd,USGS,USGS
site_no,393227104490101,393227104490101
sample_dt,2004-12-10,2004-12-15
sample_tm,10:15,10:00
sample_end_dt,,
sample_end_tm,,
sample_start_time_datum_cd,-0700,-0700
tm_datum_rlbty_cd,K,K
coll_ent_cd,USGS-WRD,USGS-WRD
medium_cd,WG,WG
project_cd,85829BI19,85829BI19
aqfr_cd,,
tu_id,,
body_part_id,,
hyd_cond_cd,A,A
samp_type_cd,9,9
hyd_event_cd,9,9
sample_lab_cm_txt,L-3450294 changed SID per dist (Flynn). 12/28/04 gb,A-3500080 VOC:  5 drops HCl addedL-3500080 changed SID per dist (Flynn). 12/28/04 gb
p00003,140.0,
p00010,12.5,
p00020,8.4,
p00025,615.0,
p00028,80020,80020
p00090,-124.0,
p00095,934.0,
p00191,0.00013,
p00300,4.5,
p00301,52.0,
p00400,6.9,
p00403,7.5,
p00405,62.0,
p00453,290.0,
p00608,E 0.02 n,
p00613,< 0.008 ,
p00618,5.79,
p00631, 5.79 d,
p00660,0.172,
p00671,0.056,
p00681,1.84,
p00900,445.0,
p00904,207.0,
p00915,146.0,
p00925,18.8,
p00930,30.7,
p00931,0.63,
p00932,13.0,
p00935,3.38,
p00940,91.6,
p00945,101.0,
p00950,0.55,
p00955,39.9,
p01000,2.2,
p01005,152.0,
p01010,< 0.060 ,
p01020,26.0,
p01025,< 0.040 ,
p01030,< 0.8 ,
p01035,0.336,
p01040,4.9,
p01046,7.9,
p01049,0.253,
p01056,0.24,
p01057,< 0.040 ,
p01060,1.65,
p01065,1.97,
p01075,< 0.200 ,
p01080,1150.0,
p01085,4.9,
p01090,6.2,
p01095,< 0.200 ,
p01106,< 1.6 ,
p01130,29.5,
p01145,10.6,
p04022,< 0.010 ,
p04025,< 0.013 ,
p04035,< 0.005 ,
p04036,< 0.005 ,
p04037,< 0.010 ,
p04040,< 0.006 mc,
p04095,< 0.0030 ,
p07000,43.2,
p22703,20.3,
p30210,34.4,
p30217,,< 0.050 b
p32101,,< 0.028 b
p32102,,< 0.06 b
p32103,,< 0.13 
p32104,,< 0.10 
p32105,,< 0.10 
p32106,,< 0.02 b
p34010,,< 0.02 b
p34030,,< 0.021 b
p34215,,< 0.80 
p34301,,< 0.028 b
p34311,,< 0.12 
p34371,,< 0.030 b
p34396,,< 0.14 
p34413,,< 0.3 mc
p34418,,< 0.2 mc
p34423,,< 0.06 b
p34475,,< 0.030 b
p34488,,< 0.08 b
p34496,,< 0.035 b
p34501,,< 0.024 b
p34506,,< 0.032 b
p34511,,< 0.040 b
p34516,,< 0.08 b
p34536,,< 0.048 b
p34541,,< 0.0290 b
p34546,,< 0.032 b
p34551,,< 0.12 b
p34566,,< 0.030 b
p34571,,< 0.034 b
p34668,,< 0.18 mc
p34696,,< 0.52 
p34699,,< 0.09 b
p34704,,< 0.05 b
p38454,< 0.08 mc,
p38775,< 0.01 mc,
p38933,< 0.0050 ,
p39086,239.0,
p39175,,< 0.08 b
p39180,,< 0.038 b
p39381,< 0.009 ,
p39415,< 0.006 ,
p39532,< 0.027 ,
p39572,< 0.0050 ,
p39632,< 0.007 ,
p39702,,< 0.14 b
p46342,< 0.005 ,
p49260,< 0.006 ,
p49295,< 0.0882 mc,
p49933,102.0,
p49934,0.5,
p49991,,< 1.0 
p49999,,< 0.14 b
p50000,,< 0.140 b
p50002,,< 0.10 
p50004,,< 0.030 b
p50005,,< 0.04 b
p50280,2001,2001
p61585,< 0.008 mc,
p61586,< 0.009 mc,
p61591,< 0.029 ,
p61593,< 0.387 mc,
p61594,< 0.003 ,
p61596,< 0.005 ,
p61598,< 0.006 ,
p61599,< 0.008 ,
p61601,< 0.008 mc,
p61618,< 0.005 ,
p61620,< 0.005 mc,
p61625,< 0.0045 ,
p61633,< 0.0057 mc,
p61635,< 0.070 mc,
p61636,< 0.06 mc,
p61638,< 0.01 ,
p61644,< 0.002 mc,
p61645,< 0.049 ,
p61649,< 0.003 mc,
p61652,< 0.030 ,
p61664,< 0.030 mc,
p61666,< 0.105 mc,
p61668,< 0.0511 mc,
p61674,< 0.068 ,
p62166,< 0.016 ,
p62167,< 0.013 ,
p62168,< 0.024 ,
p62169,< 0.029 ,
p62170,< 0.012 ,
p62854, 5.78 d,
