,2005-11-29 17:20:00+00:00
agency_cd,USGS
site_no,394748104112301
sample_dt,2005-11-29
sample_tm,10:20
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00010,17.0
p00025,628
p00028,80020
p00090,111
p00095,609
p00191,M  
p00300,0.1
p00301,1
p00400,9.2
p00403,9.0
p00405,0.3
p00452,22
p00453,318
p00607,< 0.05 
p00608,0.59
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.604
p00671, 0.197 d
p00681,0.57
p00900,3.9
p00915,1.25
p00925,0.183
p00930,148
p00931,32.8
p00932,99
p00935,0.74
p00940,16.1
p00945,0.2
p00950,0.96
p00955,10.3
p01000,< 0.12 
p01005,12.3
p01010,< 0.060 
p01020,197
p01025,< 0.040 
p01030,0.08
p01035,< 0.040 oc
p01040,< 0.4 oc
p01046,< 6.0 
p01049,0.625
p01056,3.24
p01057,< 0.040 
p01060,0.973
p01065, 0.07 oc
p01075,< 0.200 
p01080,23.2
p01085,0.16
p01090,E 0.6 noc
p01095,< 0.200 
p01106,4.4
p01130,9.99
p01145,< 0.08 
p07000,0.0
p22703,< 0.040 
p30210,25.7
p39086,297
p49933,0.0
p49934,0.05
p50280,2001
p62854,0.64
p63676,0.4
p70300,360
p70301,E 358 
p70303,0.49
p71846,0.759
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.231 @d
p71999,15.0
p72004,40
p72019,84.45
p75985,0.6
p82081,-8.51
p82082,-84.7
p82085,-11.59
p90095,600
p99111,1
p99114,0.02
p99115,0.01
p99119,M  
